id,Longitude,Latitude,Accident_Severity,Light_Conditions,Weather_Conditions,Road_Surface_Conditions
578,-2.975965,53.438159999999996,3,1,1,1
579,-2.8498799999999997,53.347114000000005,3,1,1,1
580,-2.8548709999999997,53.348831000000004,3,1,1,1
581,-2.9618759999999997,53.410886,3,1,1,1
582,-2.8643419999999997,53.355837,3,1,1,1
583,-2.873655,53.371176,3,1,1,1
584,-2.9784200000000003,53.409385,3,1,1,1
585,-2.988997,53.40684399999999,3,4,1,1
586,-2.914859,53.398104000000004,3,1,1,1
587,-2.985814,53.421431999999996,3,1,1,1
588,-2.9871220000000003,53.41099499999999,3,1,1,1
589,-2.968932,53.391054000000004,3,1,5,2
